date,id,title,url,image_url
1906-02-14,21069008,"The Gadfly, 14 February 1906",http://nla.gov.au/nla.news-page21069008,https://raw.githubusercontent.com/wragge/gadfly-demo/master/images/21069008.jpg
1906-02-21,21069036,"The Gadfly, 21 February 1906",http://nla.gov.au/nla.news-page21069036,https://raw.githubusercontent.com/wragge/gadfly-demo/master/images/21069036.jpg
1906-02-28,21069064,"The Gadfly, 28 February 1906",http://nla.gov.au/nla.news-page21069064,https://raw.githubusercontent.com/wragge/gadfly-demo/master/images/21069064.jpg
1906-03-07,21069092,"The Gadfly,  7 March 1906",http://nla.gov.au/nla.news-page21069092,https://raw.githubusercontent.com/wragge/gadfly-demo/master/images/21069092.jpg
1906-03-14,21069120,"The Gadfly, 14 March 1906",http://nla.gov.au/nla.news-page21069120,https://raw.githubusercontent.com/wragge/gadfly-demo/master/images/21069120.jpg
1906-03-21,21069148,"The Gadfly, 21 March 1906",http://nla.gov.au/nla.news-page21069148,https://raw.githubusercontent.com/wragge/gadfly-demo/master/images/21069148.jpg
1906-03-28,21069176,"The Gadfly, 28 March 1906",http://nla.gov.au/nla.news-page21069176,https://raw.githubusercontent.com/wragge/gadfly-demo/master/images/21069176.jpg
1906-04-04,21069204,"The Gadfly,  4 April 1906",http://nla.gov.au/nla.news-page21069204,https://raw.githubusercontent.com/wragge/gadfly-demo/master/images/21069204.jpg
1906-04-11,21069228,"The Gadfly, 11 April 1906",http://nla.gov.au/nla.news-page21069228,https://raw.githubusercontent.com/wragge/gadfly-demo/master/images/21069228.jpg
1906-04-18,21069252,"The Gadfly, 18 April 1906",http://nla.gov.au/nla.news-page21069252,https://raw.githubusercontent.com/wragge/gadfly-demo/master/images/21069252.jpg
1906-04-25,21069276,"The Gadfly, 25 April 1906",http://nla.gov.au/nla.news-page21069276,https://raw.githubusercontent.com/wragge/gadfly-demo/master/images/21069276.jpg
1906-05-02,21069300,"The Gadfly,  2 May 1906",http://nla.gov.au/nla.news-page21069300,https://raw.githubusercontent.com/wragge/gadfly-demo/master/images/21069300.jpg
1906-05-09,21069324,"The Gadfly,  9 May 1906",http://nla.gov.au/nla.news-page21069324,https://raw.githubusercontent.com/wragge/gadfly-demo/master/images/21069324.jpg
1906-05-16,21069348,"The Gadfly, 16 May 1906",http://nla.gov.au/nla.news-page21069348,https://raw.githubusercontent.com/wragge/gadfly-demo/master/images/21069348.jpg
